Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,source
Reactome_2022,Type I Hemidesmosome Assembly R-HSA-446107,1/9,0.0213978788543136,0.1128251794136538,0,0,53.04255319148936,203.9201586743584,COL17A1,Reactome
Reactome_2022,FGFR2b Ligand Binding And Activation R-HSA-190377,1/10,0.0237475721230066,0.1147799319278652,0,0,47.14657210401892,176.3411440394006,FGFBP1,Reactome
GO_Biological_Process_2023,Cytoplasmic Side Of Plasma Membrane (GO:0009898),2/124,0.0357322664499924,0.1161298659624755,0,0,7.066999287241625,23.54512983799638,CDH1;DSG1,GO
Reactome_2022,Degradation Of Extracellular Matrix R-HSA-1474228,2/109,0.0282097429288146,0.1258588530670193,0,0,8.063795205201139,28.772329831858823,COL17A1;KLK7,Reactome
GO_Biological_Process_2023,Actin Cytoskeleton (GO:0015629),3/327,0.0436448777400637,0.1260852023601842,0,0,4.038683127572017,12.647820173196292,LAD1;POF1B;CDH1,GO
GO_Biological_Process_2023,Connexin Complex (GO:0005922),1/18,0.0423473138141528,0.1260852023601842,0,0,24.94993742177722,78.88796682594588,GJB3,GO
GO_Biological_Process_2023,Gap Junction (GO:0005921),1/21,0.0492323856769317,0.1347412660631815,0,0,21.20425531914893,63.85033051565917,GJB3,GO
GO_Biological_Process_2023,Tertiary Granule (GO:0070820),2/162,0.0577192893067689,0.1421429198018674,0,0,5.378260869565217,15.339681270665173,DSG1;PKP1,GO
GO_Biological_Process_2023,Collagen-Containing Extracellular Matrix (GO:0062023),3/373,0.0601373891469439,0.1421429198018674,0,0,3.528288288288288,9.918454175911544,COL17A1;KRT1;ANXA8,GO
GO_Biological_Process_2023,Vacuolar Lumen (GO:0005775),2/161,0.0570920045887902,0.1421429198018674,0,0,5.412359857806946,15.496079863013223,SERPINB13;PRSS8,GO
GO_Biological_Process_2023,Intercalated Disc (GO:0014704),1/31,0.0718343985928686,0.1556411969512153,0,0,14.129078014184396,37.20739858844958,DSC2,GO
GO_Biological_Process_2023,Cell-Substrate Junction (GO:0030055),3/395,0.0689266054552162,0.1556411969512153,0,0,3.326530612244898,8.89751477179632,COL17A1;PRSS8;TNS4,GO
Reactome_2022,Gap Junction Assembly R-HSA-190861,1/16,0.0377301695361429,0.1563107023640208,0,0,28.279432624113475,92.68005025728142,GJB3,Reactome
Reactome_2022,FGFR2 Ligand Binding And Activation R-HSA-190241,1/20,0.0469427643840033,0.1815120222848127,0,0,22.32138857782755,68.27724816722397,FGFBP1,Reactome
GO_Biological_Process_2023,Cortical Actin Cytoskeleton (GO:0030864),1/44,0.1004319028156185,0.2088983578564865,0,0,9.851063829787234,22.640457319741365,CDH1,GO
Reactome_2022,Gap Junction Trafficking R-HSA-190828,1/25,0.0583371336275197,0.2097976512589555,0,0,17.666666666666668,50.20012391375553,GJB3,Reactome
Reactome_2022,Gap Junction Trafficking And Regulation R-HSA-157858,1/27,0.0628574380669868,0.2097976512589555,0,0,16.306055646481177,45.11699715873728,GJB3,Reactome
Reactome_2022,MET Promotes Cell Motility R-HSA-8875878,1/28,0.0651096159079517,0.2097976512589555,0,0,15.70133963750985,42.89108304980743,TNS4,Reactome
GO_Biological_Process_2023,Cell-Cell Contact Zone (GO:0044291),1/47,0.1069077860677883,0.2138155721355766,0,0,9.207215541165588,20.585387807497664,DSC2,GO
Reactome_2022,RND3 GTPase Cycle R-HSA-9696264,1/42,0.0960891271965123,0.2570272314929259,0,0,10.332641411520498,24.203996656798854,DSG1,Reactome
Reactome_2022,Collagen Degradation R-HSA-1442490,1/40,0.0917258252694664,0.2570272314929259,0,0,10.863611565739223,25.952639098328586,COL17A1,Reactome
Reactome_2022,Neutrophil Degranulation R-HSA-6798695,3/468,0.1019245917989189,0.2570272314929259,0,0,2.7938351254480285,6.379784071679163,KRT1;DSG1;PKP1,Reactome
Reactome_2022,RND2 GTPase Cycle R-HSA-9696270,1/43,0.0982630748725642,0.2570272314929259,0,0,10.08611955420466,23.400876172094083,DSG1,Reactome
Reactome_2022,Collagen Chain Trimerization R-HSA-8948216,1/44,0.1004319028156185,0.2570272314929259,0,0,9.851063829787234,22.640457319741365,COL17A1,Reactome
KEGG_2021_Human,Cell adhesion molecules,2/148,0.0491654722604713,0.2581187293674745,0,0,5.89815366289458,17.76856353440523,CDH3;CDH1,KEGG
GO_Biological_Process_2023,Secretory Granule Membrane (GO:0030667),2/279,0.1443598430660232,0.2588521323942485,0,0,3.088212211583739,5.9770685474246985,DSG1;PKP1,GO
GO_Biological_Process_2023,Caveola (GO:0005901),1/62,0.1386086538773072,0.2588521323942485,0,0,6.937914196023718,13.71001749051947,CDH1,GO
GO_Biological_Process_2023,Cortical Cytoskeleton (GO:0030863),1/63,0.140682418673652,0.2588521323942485,0,0,6.82566918325326,13.386845588592887,CDH1,GO
GO_Biological_Process_2023,Actin Filament (GO:0005884),1/71,0.1570974871327128,0.2723023110300356,0,0,6.043161094224924,11.185218757947172,POF1B,GO
Reactome_2022,Ion Homeostasis R-HSA-5578775,1/50,0.1133380148369131,0.27390020252254,0,0,8.642205818497612,18.81737166641443,FXYD3,Reactome
Reactome_2022,Ion Transport By P-type ATPases R-HSA-936837,1/53,0.1197229041546323,0.277757137638747,0,0,8.142389525368248,17.28283520220542,FXYD3,Reactome
KEGG_2021_Human,Bladder cancer,1/41,0.0939100479402185,0.2817301438206557,0,0,10.591489361702129,25.05329843565195,CDH1,KEGG
KEGG_2021_Human,Thyroid cancer,1/37,0.0851421778428747,0.2817301438206557,0,0,11.770685579196217,28.996292220497825,CDH1,KEGG
KEGG_2021_Human,Aldosterone-regulated sodium reabsorption,1/37,0.0851421778428747,0.2817301438206557,0,0,11.770685579196217,28.996292220497825,SFN,KEGG
GO_Biological_Process_2023,Late Endosome Membrane (GO:0031902),1/85,0.1850881486513083,0.2947490501852294,0,0,5.03242147922999,8.489307982804856,ANXA8,GO
GO_Biological_Process_2023,Bicellular Tight Junction (GO:0005923),1/81,0.1771850444415686,0.2947490501852294,0,0,5.285106382978723,9.14619710408154,POF1B,GO
GO_Biological_Process_2023,Lysosomal Lumen (GO:0043202),1/86,0.1870522818483187,0.2947490501852294,0,0,4.9729662077597,8.336517035216884,SERPINB13,GO
GO_Biological_Process_2023,Azurophil Granule Lumen (GO:0035578),1/89,0.1929169104206551,0.2950493924080608,0,0,4.802707930367505,7.902835241681023,PRSS8,GO
KEGG_2021_Human,Bacterial invasion of epithelial cells,1/77,0.1692069070108113,0.2961120872689198,0,0,5.564389697648377,9.885878423279296,CDH1,KEGG
KEGG_2021_Human,Melanoma,1/72,0.1591276572942807,0.2961120872689198,0,0,5.957746478873239,10.950627114887546,CDH1,KEGG
KEGG_2021_Human,Adherens junction,1/71,0.1570974871327128,0.2961120872689198,0,0,6.043161094224924,11.185218757947172,CDH1,KEGG
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,1/77,0.1692069070108113,0.2961120872689198,0,0,5.564389697648377,9.885878423279296,DSC2,KEGG
KEGG_2021_Human,Endometrial cancer,1/58,0.1302644809111732,0.2961120872689198,0,0,7.426278462112728,15.136154814985696,CDH1,KEGG
GO_Biological_Process_2023,Tight Junction (GO:0070160),1/93,0.2006720143577491,0.2981412784743701,0,0,4.592969472710453,7.376692362449925,POF1B,GO
Reactome_2022,Signaling By FGFR2 R-HSA-5654738,1/72,0.1591276572942807,0.3076468041022761,0,0,5.957746478873239,10.950627114887546,FGFBP1,Reactome
Reactome_2022,Interferon Alpha/Beta Signaling R-HSA-909733,1/72,0.1591276572942807,0.3076468041022761,0,0,5.957746478873239,10.950627114887546,IRF6,Reactome
Reactome_2022,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,1/67,0.1489287032553352,0.3076468041022761,0,0,6.4107027724049,12.20782172752252,COL17A1,Reactome
Reactome_2022,Extracellular Matrix Organization R-HSA-1474244,2/291,0.1543362592910893,0.3076468041022761,0,0,2.9581766210320444,5.527712597717767,COL17A1;KLK7,Reactome
Reactome_2022,Signaling By MET R-HSA-6806834,1/63,0.140682418673652,0.3076468041022761,0,0,6.82566918325326,13.386845588592887,TNS4,Reactome
KEGG_2021_Human,Protein digestion and absorption,1/103,0.2197419580172405,0.3296129370258608,0,0,4.140592407175636,6.274245219426223,COL17A1,KEGG
KEGG_2021_Human,Amoebiasis,1/102,0.2178551906572003,0.3296129370258608,0,0,4.181799030966927,6.372746833533601,SERPINB13,KEGG
Reactome_2022,Cell Junction Organization R-HSA-446728,1/86,0.1870522818483187,0.3324126112658145,0,0,4.9729662077597,8.336517035216884,COL17A1,Reactome
Reactome_2022,Collagen Formation R-HSA-1474290,1/90,0.1948625652247878,0.3324126112658145,0,0,4.748505857040402,7.765995010266912,COL17A1,Reactome
Reactome_2022,Interferon Gamma Signaling R-HSA-877300,1/89,0.1929169104206551,0.3324126112658145,0,0,4.802707930367505,7.902835241681023,IRF6,Reactome
Reactome_2022,Signaling By FGFR R-HSA-190236,1/86,0.1870522818483187,0.3324126112658145,0,0,4.9729662077597,8.336517035216884,FGFBP1,Reactome
GO_Biological_Process_2023,Focal Adhesion (GO:0005925),2/387,0.2377608541414217,0.3434323448709425,0,0,2.2097120271033317,3.1742290641008446,PRSS8;TNS4,GO
Reactome_2022,Potential Therapeutics For SARS R-HSA-9679191,1/97,0.2083541388506012,0.3452725729524248,0,0,4.400709219858156,6.902583070971099,FXYD3,Reactome
GO_Biological_Process_2023,Ficolin-1-Rich Granule Lumen (GO:1904813),1/123,0.2565549324357004,0.360563688828552,0,0,3.458318800139519,4.704740040857999,KRT1,GO
KEGG_2021_Human,Cell cycle,1/124,0.258350239082518,0.3616903347155251,0,0,3.4300294066770456,4.64233590912776,SFN,KEGG
KEGG_2021_Human,Apelin signaling pathway,1/137,0.2813064586711968,0.3692147270059459,0,0,3.1001251564455568,3.9319216086160855,CDH1,KEGG
KEGG_2021_Human,Gastric cancer,1/149,0.3018784034289323,0.3729086160004458,0,0,2.847038527889592,3.409986247075275,CDH1,KEGG
KEGG_2021_Human,Hippo signaling pathway,1/163,0.3251509478119509,0.3793427724472761,0,0,2.5991594431310743,2.920066612294687,CDH1,KEGG
Reactome_2022,Cell-Cell Communication R-HSA-1500931,1/120,0.2511434421113936,0.4046199900683564,0,0,3.5460396924727338,4.899673043257775,COL17A1,Reactome
Reactome_2022,Cardiac Conduction R-HSA-5576891,1/126,0.2619281263719509,0.4105900359344095,0,0,3.3748085106382977,4.521180810968198,FXYD3,Reactome
GO_Biological_Process_2023,Azurophil Granule (GO:0042582),1/155,0.3119470262621401,0.4268748780429287,0,0,2.7352859906051394,3.186394534645299,PRSS8,GO
KEGG_2021_Human,Rap1 signaling pathway,1/210,0.3978586863377555,0.4397385480575193,0,0,2.0098747836709765,1.8524179696792191,CDH1,KEGG
GO_Biological_Process_2023,Membrane Raft (GO:0045121),1/169,0.3348907514156231,0.4398299073649259,0,0,2.5055724417426544,2.74097326654965,MAL2,GO
GO_Biological_Process_2023,Intracellular Organelle Lumen (GO:0070013),3/856,0.3383306979730199,0.4398299073649259,0,0,1.492692457991403,1.617677784960709,COL17A1;KRT17;KRT1,GO
GO_Biological_Process_2023,Late Endosome (GO:0005770),1/205,0.3905040150773224,0.4952733849761162,0,0,2.059657905715478,1.936731400325364,ANXA8,GO
Reactome_2022,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,2/496,0.3348269318543168,0.5110516328302731,0,0,1.7125506072874497,1.8737726936780996,FGFBP1;TNS4,Reactome
Reactome_2022,Ion Channel Transport R-HSA-983712,1/175,0.3444928715299497,0.5123227320188996,0,0,2.418439716312057,2.577287385875701,FXYD3,Reactome
Reactome_2022,Muscle Contraction R-HSA-397014,1/196,0.3770433126500815,0.5372216318759585,0,0,2.1557010365521005,2.1026604662521184,FXYD3,Reactome
Reactome_2022,Transcriptional Regulation By RUNX1 R-HSA-8878171,1/204,0.3890225610136251,0.5372216318759585,0,0,2.069908814589666,1.9542380451512489,SERPINB13,Reactome
Reactome_2022,Interferon Signaling R-HSA-913531,1/200,0.3830614060395898,0.5372216318759585,0,0,2.111942692184326,2.026535673888961,IRF6,Reactome
GO_Biological_Process_2023,trans-Golgi Network (GO:0005802),1/241,0.4415560288501406,0.5466884166716027,0,0,1.747517730496454,1.428509000219896,CDH1,GO
KEGG_2021_Human,MicroRNAs in cancer,1/310,0.5279706698224623,0.5543692033135854,0,0,1.3525442401707637,0.8638896808431941,SERPINB5,KEGG
GO_Biological_Process_2023,Endoplasmic Reticulum Lumen (GO:0005788),1/284,0.4970668508819682,0.6011040987409848,0,0,1.4787609954138787,1.0336994123000245,COL17A1,GO
Reactome_2022,Innate Immune System R-HSA-168249,3/1035,0.4555103703309622,0.6144093367254839,0,0,1.2222222222222223,0.9610783057622958,KRT1;DSG1;PKP1,Reactome
GO_Biological_Process_2023,Secretory Granule Lumen (GO:0034774),1/316,0.5348338155990909,0.6320763275261984,0,0,1.3263762242485646,0.8300451871809663,PRSS8,GO
GO_Biological_Process_2023,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),3/1195,0.5530871870475799,0.6391229716994256,0,0,1.0492170022371363,0.6213878870506757,SERPINB13;KRT16;KRT1,GO
GO_Biological_Process_2023,Mitochondrial Matrix (GO:0005759),1/355,0.5771218484714342,0.6453358770081502,0,0,1.1779059983171054,0.6474971168939726,KRT17,GO
GO_Biological_Process_2023,Endosome Membrane (GO:0010008),1/361,0.5832843503727512,0.6453358770081502,0,0,1.157919621749409,0.6242118597600725,ANXA8,GO
GO_Biological_Process_2023,Nucleus (GO:0005634),10/4487,0.6600460820104413,0.715049922177978,0,0,0.9096199287586848,0.3778976199712549,CASP14;KRT16;KRT1;KRT14;KRT13;DSG1;PKP1;KRT5;IRF6;KRT6A,GO
KEGG_2021_Human,Pathways in cancer,1/531,0.7255978157509192,0.7255978157509192,0,0,0.7796868727418708,0.2500918860439832,CDH1,KEGG
GO_Biological_Process_2023,Lysosome (GO:0005764),1/503,0.7059760913715037,0.7491991173738407,0,0,0.8243621259642282,0.2870213821593541,SERPINB13,GO
GO_Biological_Process_2023,Intracellular Membrane-Bounded Organelle (GO:0043231),11/5175,0.7312666214174536,0.7605172862741517,0,0,0.8513618188288986,0.266456796144875,CASP14;GJB3;KRT16;KRT1;KRT14;KRT13;DSG1;PKP1;KRT5;IRF6;KRT6A,GO
Reactome_2022,SARS-CoV Infections R-HSA-9679506,1/369,0.5913644044889995,0.7795258059173175,0,0,1.1322849213691026,0.5948151554131711,FXYD3,Reactome
Reactome_2022,RHO GTPase Cycle R-HSA-9012999,1/441,0.6575105635820393,0.8474580597279618,0,0,0.9435203094777564,0.3956128280703124,DSG1,Reactome
GO_Biological_Process_2023,Nuclear Lumen (GO:0031981),1/780,0.8521808852989823,0.8521808852989823,0,0,0.523666457269276,0.0837638369136884,SERPINB13,GO
GO_Biological_Process_2023,Nucleolus (GO:0005730),1/771,0.8488174696407952,0.8521808852989823,0,0,0.5300359215252832,0.0868787764062895,SERPINB13,GO
Reactome_2022,Immune System R-HSA-168256,4/1943,0.6983577321061345,0.8805380100468653,0,0,0.8445309203431947,0.3032066979821384,KRT1;DSG1;PKP1;IRF6,Reactome
Reactome_2022,Membrane Trafficking R-HSA-199991,1/599,0.7680671663176643,0.917067994996702,0,0,0.6886074147868783,0.1817084117947627,GJB3,Reactome
Reactome_2022,Vesicle-mediated Transport R-HSA-5653656,1/637,0.788922322110378,0.917067994996702,0,0,0.6461929613274455,0.1532042181765272,GJB3,Reactome
Reactome_2022,Signaling By Rho GTPases R-HSA-194315,1/644,0.7925584916975041,0.917067994996702,0,0,0.638926574236458,0.1485433807638913,DSG1,Reactome
Reactome_2022,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",1/660,0.8006409649514437,0.917067994996702,0,0,0.6228973622187066,0.1384966601097742,DSG1,Reactome
Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,1/702,0.820418731996124,0.917067994996702,0,0,0.5843020608856648,0.11565699550498,IRF6,Reactome
Reactome_2022,Transport Of Small Molecules R-HSA-382551,1/706,0.8221988920660086,0.917067994996702,0,0,0.5808661536140033,0.1137178816348606,FXYD3,Reactome
Reactome_2022,Infectious Disease R-HSA-5663205,1/961,0.906190479274013,0.9872677739347328,0,0,0.4209219858156028,0.0414632371723324,FXYD3,Reactome
Reactome_2022,Signal Transduction R-HSA-162582,3/2465,0.9457835886406474,0.9872677739347328,0,0,0.4735987002437043,0.0263991023054781,FGFBP1;DSG1;TNS4,Reactome
Reactome_2022,Generic Transcription Pathway R-HSA-212436,1/1190,0.9475574140225668,0.9872677739347328,0,0,0.3357550596782563,0.0180863691415273,SERPINB13,Reactome
Reactome_2022,RNA Polymerase II Transcription R-HSA-73857,1/1312,0.9616404382195118,0.9872677739347328,0,0,0.3025301459012934,0.0118333647128927,SERPINB13,Reactome
Reactome_2022,Gene Expression (Transcription) R-HSA-74160,1/1449,0.9730656623662278,0.9872677739347328,0,0,0.2718937345715293,0.0074237089375634,SERPINB13,Reactome
Reactome_2022,Disease R-HSA-1643685,1/1736,0.9872677739347328,0.9872677739347328,0,0,0.2233981237353608,0.0028626180839217,FXYD3,Reactome
